Date,Region,Customer_Segment,Product_Category,Product_Name,Revenue,Profit,Quantity,Customer_Count
2024-01-01,North America,Retail,Electronics,Laptop,12000,2500,15,10
2024-01-03,Europe,Corporate,Furniture,Office Chair,8000,1500,20,8
2024-01-05,Asia,SMB,Technology,Software License,15000,5000,30,12
2024-01-08,North America,Enterprise,Electronics,Smartphone,20000,4000,40,15
2024-01-10,Europe,Retail,Office Supplies,Printer Paper,3000,900,60,20
2024-01-12,Asia,Corporate,Furniture,Desk,9500,2100,18,7
2024-01-15,South America,SMB,Electronics,Tablet,7000,1800,22,9
2024-01-18,Africa,Retail,Technology,Antivirus Software,4000,1300,35,14
2024-01-20,North America,Corporate,Electronics,Monitor,11000,2600,25,11
2024-01-22,Europe,Enterprise,Furniture,Conference Table,14000,3200,10,4
2024-01-25,Asia,Retail,Office Supplies,Notebook,2500,600,80,30
2024-01-28,South America,Corporate,Technology,Cloud Storage,9000,3000,20,10
2024-02-02,Africa,SMB,Electronics,Headphones,3500,900,50,18
2024-02-05,North America,Retail,Technology,CRM Software,17000,5200,12,6
2024-02-08,Europe,SMB,Furniture,Bookshelf,4800,1200,14,5
2024-02-10,Asia,Enterprise,Electronics,Server,25000,7000,6,3
2024-02-12,South America,Retail,Office Supplies,Markers,1200,300,100,35
2024-02-15,Africa,Corporate,Technology,Data Analytics Tool,13500,4500,8,4
2024-02-18,North America,SMB,Electronics,Keyboard,2200,500,45,16
2024-02-20,Europe,Retail,Technology,Project Management Tool,7600,2400,18,9
